movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,865777
霸王别姬,2,9.5,621825
这个杀手不太冷,3,9.4,828436
阿甘正传,4,9.4,706790
美丽人生,5,9.5,412254
千与千寻,6,9.2,658286
辛德勒的名单,7,9.4,380137
泰坦尼克号,8,9.2,649766
盗梦空间,9,9.2,757981
机器人总动员,10,9.3,496506
海上钢琴师,11,9.2,596456
三傻大闹宝莱坞,12,9.1,670053
忠犬八公的故事,13,9.2,452010
放牛班的春天,14,9.2,449723
大话西游之大圣娶亲,15,9.2,485099
龙猫,16,9.1,416068
教父,17,9.2,341802
楚门的世界,18,9.1,450723
乱世佳人,19,9.2,269991
天堂电影院,20,9.1,308219
触不可及,21,9.1,363915
当幸福来敲门,22,8.9,535737
熔炉,23,9.2,249378
搏击俱乐部,24,9.0,402660
无间道,25,9.0,396001
movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,865777
霸王别姬,2,9.5,621825
这个杀手不太冷,3,9.4,828436
阿甘正传,4,9.4,706790
美丽人生,5,9.5,412254
千与千寻,6,9.2,658286
辛德勒的名单,7,9.4,380137
泰坦尼克号,8,9.2,649766
盗梦空间,9,9.2,757981
机器人总动员,10,9.3,496506
海上钢琴师,11,9.2,596456
三傻大闹宝莱坞,12,9.1,670053
忠犬八公的故事,13,9.2,452010
放牛班的春天,14,9.2,449723
大话西游之大圣娶亲,15,9.2,485099
龙猫,16,9.1,416068
教父,17,9.2,341802
楚门的世界,18,9.1,450723
乱世佳人,19,9.2,269991
天堂电影院,20,9.1,308219
触不可及,21,9.1,363915
当幸福来敲门,22,8.9,535737
熔炉,23,9.2,249378
搏击俱乐部,24,9.0,402660
无间道,25,9.0,396001
十二怒汉,26,9.4,169909
怦然心动,27,8.9,541223
指环王3：王者无敌,28,9.1,283117
星际穿越,29,9.1,478465
少年派的奇幻漂流,30,9.0,574936
天空之城,31,9.0,329916
鬼子来了,32,9.2,225771
罗马假日,33,8.9,382972
蝙蝠侠：黑暗骑士,34,9.0,315722
大话西游之月光宝盒,35,8.9,392326
活着,36,9.1,263187
两杆大烟枪,37,9.0,271428
飞屋环游记,38,8.9,493679
窃听风暴,39,9.1,219801
飞越疯人院,40,9.0,275189
海豚湾,41,9.3,180323
闻香识女人,42,8.9,317675
V字仇杀队,43,8.8,409704
哈尔的移动城堡,44,8.9,343385
教父2,45,9.1,183995
美丽心灵,46,8.9,300830
指环王2：双塔奇兵,47,8.9,267142
指环王1：魔戒再现,48,8.9,298297
死亡诗社,49,8.9,272507
情书,50,8.8,368514
天使爱美丽,51,8.7,475858
控方证人,52,9.6,83019
美国往事,53,9.1,171620
辩护人,54,9.1,195206
钢琴家,55,9.0,199698
七宗罪,56,8.7,428621
狮子王,57,8.9,276309
饮食男女,58,9.0,191010
被嫌弃的松子的一生,59,8.9,274720
致命魔术,60,8.8,334469
勇敢的心,61,8.8,291375
小鞋子,62,9.2,133539
剪刀手爱德华,63,8.7,475182
音乐之声,64,8.9,227689
低俗小说,65,8.7,326751
入殓师,66,8.8,313652
本杰明·巴顿奇事,67,8.7,384884
沉默的羔羊,68,8.7,345399
疯狂动物城,69,9.2,480288
黑客帝国,70,8.8,273614
素媛,71,9.1,170109
拯救大兵瑞恩,72,8.8,230318
蝴蝶效应,73,8.7,372843
西西里的美丽传说,74,8.7,337198
玛丽和马克思,75,8.9,229059
心灵捕手,76,8.7,263156
春光乍泄,77,8.8,237966
幽灵公主,78,8.8,228716
让子弹飞,79,8.7,607233
第六感,80,8.8,228374
阳光灿烂的日子,81,8.7,263004
大闹天宫,82,9.2,94566
大鱼,83,8.7,245363
重庆森林,84,8.6,319002
射雕英雄传之东成西就,85,8.7,267862
禁闭岛,86,8.6,347384
上帝之城,87,8.9,154463
甜蜜蜜,88,8.7,226600
阳光姐妹淘,89,8.8,260637
致命ID,90,8.6,308031
一一,91,8.9,150588
告白,92,8.7,330984
狩猎,93,9.0,120855
加勒比海盗,94,8.6,331433
布达佩斯大饭店,95,8.7,296320
断背山,96,8.6,308407
末代皇帝,97,8.9,156299
爱在黎明破晓前,98,8.7,212342
阿凡达,99,8.6,513365
摩登时代,100,9.2,84275
猫鼠游戏,101,8.7,212575
风之谷,102,8.8,170563
哈利·波特与魔法石,103,8.6,240940
爱在日落黄昏时,104,8.7,192101
侧耳倾听,105,8.8,161780
萤火虫之墓,106,8.7,197548
穿条纹睡衣的男孩,107,8.9,134984
驯龙高手,108,8.7,274823
超脱,109,8.8,165648
消失的爱人,110,8.7,336909
海洋,111,9.0,97007
幸福终点站,112,8.6,218516
菊次郎的夏天,113,8.7,173580
倩女幽魂,114,8.6,237805
七武士,115,9.2,73814
神偷奶爸,116,8.5,359322
恐怖直播,117,8.7,205927
岁月神偷,118,8.6,297826
电锯惊魂,119,8.7,192196
谍影重重3,120,8.7,174376
借东西的小人阿莉埃蒂,121,8.7,208296
燃情岁月,122,8.8,145219
真爱至上,123,8.5,298657
雨人,124,8.6,203350
红辣椒,125,8.8,123882
贫民窟的百万富翁,126,8.5,384586
杀人回忆,127,8.6,199892
东邪西毒,128,8.6,240193
虎口脱险,129,8.9,103734
记忆碎片,130,8.5,267485
疯狂原始人,131,8.7,357270
怪兽电力公司,132,8.6,228791
卢旺达饭店,133,8.8,114054
黑天鹅,134,8.5,401631
喜宴,135,8.8,131879
小森林 夏秋篇,136,8.9,119181
喜剧之王,137,8.5,293665
魂断蓝桥,138,8.8,125201
穿越时空的少女,139,8.6,178592
猜火车,140,8.5,240754
恋恋笔记本,141,8.5,269044
英雄本色,142,8.7,142232
雨中曲,143,8.9,89853
傲慢与偏见,144,8.4,287999
教父3,145,8.7,123513
完美的世界,146,9.0,75474
纵横四海,147,8.7,136026
萤火之森,148,8.7,147708
玩具总动员3,149,8.7,185257
人工智能,150,8.6,182218
我是山姆,151,8.8,97396
7号房的礼物,152,8.7,163146
哈利·波特与死亡圣器(下),153,8.6,260881
浪潮,154,8.7,125406
花样年华,155,8.5,234018
香水,156,8.4,264266
冰川时代,157,8.4,258118
撞车,158,8.6,167820
朗读者,159,8.5,268967
追随,160,8.9,76793
一次别离,161,8.7,126324
荒蛮故事,162,8.7,121667
罗生门,163,8.7,117046
心迷宫,164,8.6,147615
时空恋旅人,165,8.6,185033
唐伯虎点秋香,166,8.4,301538
超能陆战队,167,8.6,347196
战争之王,168,8.5,167201
梦之安魂曲,169,8.7,106670
可可西里,170,8.6,122823
小森林 冬春篇,171,8.9,102494
碧海蓝天,172,8.7,104940
地球上的星星,173,8.8,79401
蝙蝠侠：黑暗骑士崛起,174,8.5,279832
秒速5厘米,175,8.3,278486
二十二,176,8.9,66879
谍影重重2,177,8.5,151389
海盗电台,178,8.6,160030
恐怖游轮,179,8.3,300315
谍影重重,180,8.5,182725
阿飞正传,181,8.5,169876
未麻的部屋,182,8.8,87901
爆裂鼓手,183,8.6,222408
达拉斯买家俱乐部,184,8.6,158532
牯岭街少年杀人事件,185,8.7,99773
惊魂记,186,8.8,77590
魔女宅急便,187,8.4,182884
海边的曼彻斯特,188,8.6,125875
再次出发之纽约遇见你,189,8.5,155956
绿里奇迹,190,8.7,100941
