movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,830568
盗梦空间,2,9.2,759503
大话西游之大圣娶亲,3,9.2,486149
七武士,4,9.2,73945
指环王3：王者无敌,5,9.1,283549
搏击俱乐部,6,9.0,403209
蝙蝠侠：黑暗骑士,7,9.0,316480
将军号,8,9.0,7396
大话西游之月光宝盒,9,8.9,393087
指环王1：魔戒再现,10,8.9,298766
指环王2：双塔奇兵,11,8.9,267576
攻壳机动队,12,8.9,57427
V字仇杀队,13,8.8,410565
勇敢的心,14,8.8,291720
黑客帝国,15,8.8,274057
幽灵公主,16,8.8,229060
用心棒,17,8.8,13280
桥,18,8.8,11461
攻壳机动队SSS,19,8.8,9333
铁达尼号沉没记,20,8.8,4920
让子弹飞,21,8.7,608198
血战钢锯岭,22,8.7,279939
谍影重重3,23,8.7,174623
英雄本色,24,8.7,142588
纵横四海,25,8.7,136340
东邪西毒：终极版,26,8.7,88933
小萝莉的猴神大叔,27,8.7,70295
精英部队2：大敌当前,28,8.7,44693
乱,29,8.7,31935
黑客帝国动画版,30,8.7,30392
椿三十郎,31,8.7,8174
阿凡达,32,8.6,514165
超能陆战队,33,8.6,347811
加勒比海盗,34,8.6,332032
东邪西毒,35,8.6,240527
枪火,36,8.6,92983
恶童,37,8.6,46867
宾虚,38,8.6,18624
蝙蝠侠：黑暗骑士归来(下),39,8.6,15104
芭萨提的颜色,40,8.6,9723
敲开天堂的门,41,8.6,8608
碧血金沙,42,8.6,3790
落叶,43,8.6,3704
蝙蝠侠：黑暗骑士崛起,44,8.5,280316
被解救的姜戈,45,8.5,247251
疯狂的麦克斯4：狂暴之路,46,8.5,198645
谍影重重,47,8.5,182991
谍影重重2,48,8.5,151609
黑客帝国3：矩阵革命,49,8.5,146148
勇闯夺命岛,50,8.5,135831
终结者2：审判日,51,8.5,133847
黑鹰坠落,52,8.5,103928
启示,53,8.5,43824
午夜狂奔,54,8.5,7797
西线无战事,55,8.5,7065
大菩萨岭,56,8.5,5045
兽兵卫忍风帖,57,8.5,4562
盗信情缘,58,8.5,3561
死亡的游戏,59,8.5,1968
通往自由的通道,60,8.5,1572
笔中情,61,8.5,1046
王牌特工：特工学院,62,8.4,316055
速度与激情5,63,8.4,207216
变脸,64,8.4,204220
新龙门客栈,65,8.4,172443
黑客帝国2：重装上阵,66,8.4,136223
罪恶之城,67,8.4,134157
角斗士,68,8.4,122117
暗战,69,8.4,110997
神探,70,8.4,102349
黄海,71,8.4,77057
王牌对王牌,72,8.4,63522
盗火线,73,8.4,63408
杀死比尔整个血腥事件,74,8.4,10247
蜘蛛巢城,75,8.4,8559
侠女,76,8.4,7358
最长的一天,77,8.4,6884
红线,78,8.4,3835
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,79,8.4,3524
福禄双霸天,80,8.4,1710
忍者小英雄,81,8.4,1039
源代码,82,8.3,389185
速度与激情7,83,8.3,253180
金刚狼3：殊死一战,84,8.3,206024
无间道2,85,8.3,152287
买凶拍人,86,8.3,91169
热血警探,87,8.3,84044
笑傲江湖2：东方不败,88,8.3,82939
星球大战,89,8.3,59759
太极旗飘扬,90,8.3,51411
星球大战3：绝地归来,91,8.3,43557
喋血双雄,92,8.3,35179
一个字头的诞生,93,8.3,30247
荒野大镖客,94,8.3,19775
阿基拉,95,8.3,18900
精武门,96,8.3,14257
日落黄沙,97,8.3,4552
胜利之光,98,8.3,4331
菜鸟总动员：毕业,99,8.3,2290
飞出个未来大电影2：万背之兽,100,8.3,2154
战略大作战,101,8.3,2152
冰海沉船,102,8.3,2126
孟菲斯美女号,103,8.3,1879
西游记之大圣归来,104,8.2,365890
釜山行,105,8.2,341550
碟中谍4,106,8.2,252047
X战警：逆转未来,107,8.2,244221
第九区,108,8.2,219195
霍比特人3：五军之战,109,8.2,189376
霍比特人2：史矛革之战,110,8.2,188870
蝙蝠侠：侠影之谜,111,8.2,130521
飓风营救,112,8.2,124969
星球大战前传3：西斯的复仇,113,8.2,52612
星球大战2：帝国反击战,114,8.2,46842
天国王朝,115,8.2,45372
最终幻想7：圣子降临,116,8.2,39532
处刑人,117,8.2,32403
雌雄大盗,118,8.2,22393
猛龙过江,119,8.2,17287
追捕,120,8.2,15380
卡桑德拉大桥,121,8.2,14537
大都会,122,8.2,13258
正义联盟：闪点悖论,123,8.2,10028
蝙蝠侠：红影迷踪,124,8.2,6264
白色严冬,125,8.2,6077
奏鸣曲,126,8.2,6046
老人Z,127,8.2,5184
关山飞渡,128,8.2,4247
战国英豪,129,8.2,3841
机动警察剧场版1,130,8.2,3690
桃色血案,131,8.2,3469
天与地,132,8.2,2694
迎春阁之风波,133,8.2,2356
红河,134,8.2,1413
疤面人,135,8.2,1225
摔角狂热 30,136,8.2,1017
变形金刚,137,8.1,232981
霍比特人1：意外之旅,138,8.1,219027
加勒比海盗2：聚魂棺,139,8.1,190716
杀死比尔,140,8.1,184395
X战警：第一战,141,8.1,177765
银河护卫队2,142,8.1,163917
铁甲钢拳,143,8.1,156963
国产凌凌漆,144,8.1,154008
罗拉快跑,145,8.1,148098
师父,146,8.1,141129
孤胆特工,147,8.1,115116
空中监狱,148,8.1,109300
真实的谎言,149,8.1,95791
国家公敌,150,8.1,69842
英雄本色2,151,8.1,50477
精武英雄,152,8.1,50443
虎胆龙威,153,8.1,45542
第一滴血,154,8.1,43080
怒火救援,155,8.1,40187
监狱风云,156,8.1,38483
西北偏北,157,8.1,37399
夺宝奇兵3,158,8.1,33374
枪王,159,8.1,31450
野战排,160,8.1,23881
爱国者,161,8.1,22911
喋血街头,162,8.1,19282
爱的曝光,163,8.1,15087
小倩,164,8.1,13392
龙争虎斗,165,8.1,10879
虎！虎！虎！,166,8.1,9948
变形金刚大电影,167,8.1,3320
痛击,168,8.1,3243
山中传奇,169,8.1,3064
大饭店,170,8.1,2654
跳跃大搜查线：湾岸署史上最恶的3日间,171,8.1,2370
血染雪山堡,172,8.1,1729
血洗鳄鱼仇,173,8.1,1619
忠烈图,174,8.1,1412
太秦灯光下,175,8.1,1143
湄公河行动,176,8.0,335932
复仇者联盟,177,8.0,308268
功夫熊猫2,178,8.0,259478
银河护卫队,179,8.0,235958
明日边缘,180,8.0,235286
猩球崛起,181,8.0,227735
后天,182,8.0,201709
加勒比海盗3：世界的尽头,183,8.0,178259
大逃杀,184,8.0,127123
树大招风,185,8.0,112243
暗杀,186,8.0,105993
暴力街区,187,8.0,74166
天生杀人狂,188,8.0,74046
秘密特工,189,8.0,71399
生死时速,190,8.0,70493
守望者,191,8.0,68065
星球大战前传1：幽灵的威胁,192,8.0,59660
未知死亡,193,8.0,52628
乐高蝙蝠侠大电影,194,8.0,29462
天若有情,195,8.0,27334
座头市,196,8.0,24755
囚室211,197,8.0,24578
亡命天涯,198,8.0,20816
魁拔Ⅲ战神崛起,199,8.0,18746
实尾岛,200,8.0,16732
飞天小女警 剧场版,201,8.0,16564
双旗镇刀客,202,8.0,16150
蝙蝠侠：黑暗骑士归来(上),203,8.0,13181
佐罗,204,8.0,10212
少年菀得,205,8.0,10144
龙门客栈,206,8.0,5786
野鹅敢死队,207,8.0,4908
新独臂刀,208,8.0,4721
蝙蝠侠：元年,209,8.0,4216
遥远的桥,210,8.0,3528
天劫余生,211,8.0,3439
侠僧探案传奇之大夜叉,212,8.0,2596
笑破铁幕,213,8.0,2526
银魂 真人版,214,8.0,1705
众神与将军,215,8.0,1233
功夫熊猫,216,7.9,286372
功夫,217,7.9,263855
美国队长2,218,7.9,207360
疯狂的赛车,219,7.9,168099
卧虎藏龙,220,7.9,165224
黑衣人,221,7.9,151730
星际迷航2：暗黑无界,222,7.9,146846
我，机器人,223,7.9,135809
独立日,224,7.9,133575
超人总动员,225,7.9,124815
碟中谍,226,7.9,123980
第五元素,227,7.9,122660
十一罗汉,228,7.9,101530
星际迷航,229,7.9,96206
终结者,230,7.9,93223
危情三日,231,7.9,59235
黄飞鸿,232,7.9,58740
异形2,233,7.9,58521
狗咬狗,234,7.9,39643
少林寺,235,7.9,34469
孤独的幸存者,236,7.9,29318
精英部队,237,7.9,26842
决战犹马镇,238,7.9,23504
猎杀U-571,239,7.9,22350
辣手神探,240,7.9,19383
警戒结束,241,7.9,18125
僵尸先生,242,7.9,18084
刀,243,7.9,17712
太阳帝国,244,7.9,13408
斯巴达克斯,245,7.9,6043
洛奇3,246,7.9,4982
势不两立,247,7.9,3999
省港旗兵4：地下通道,248,7.9,2721
飞出个未来大电影3：班德的游戏,249,7.9,2480
跳跃大搜查线最终篇：新的希望,250,7.9,2122
报仇,251,7.9,1728
达摩祖师,252,7.9,1577
第一类型危险,253,7.9,1557
